drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Tiagabine	bipolar disorder	SYM	NOT	SYM	Pilot classification: disease-modifying; Pilot notes:		though very little evidence	https://www.google.com/webhp#q=Tiagabine	http://www.uptodate.com/contents/search?search=Tiagabine	http://www.drugbank.ca/drugs/DB00906	http://www.disease-ontology.org/term/DOID%3A3312	TRUE	FALSE	TRUE
Tiludronate	breast cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Tiludronate	http://www.uptodate.com/contents/search?search=Tiludronate	http://www.drugbank.ca/drugs/DB01133	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Timolol	coronary artery disease	NOT	SYM	DM			per uptodate	https://www.google.com/webhp#q=Timolol	http://www.uptodate.com/contents/search?search=Timolol	http://www.drugbank.ca/drugs/DB00373	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	FALSE
Timolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Timolol	http://www.uptodate.com/contents/search?search=Timolol	http://www.drugbank.ca/drugs/DB00373	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Tiotropium	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Tiotropium	http://www.uptodate.com/contents/search?search=Tiotropium	http://www.drugbank.ca/drugs/DB01409	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Tiotropium	chronic obstructive pulmonary disease	DM	SYM	DM			see notes for COPD	https://www.google.com/webhp#q=Tiotropium	http://www.uptodate.com/contents/search?search=Tiotropium	http://www.drugbank.ca/drugs/DB01409	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Tizanidine	rheumatoid arthritis	SYM	NOT	NOT			http://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0033636/	https://www.google.com/webhp#q=Tizanidine	http://www.uptodate.com/contents/search?search=Tizanidine	http://www.drugbank.ca/drugs/DB00697	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Tolazamide	type 2 diabetes mellitus	DM	SYM	DM				https://www.google.com/webhp#q=Tolazamide	http://www.uptodate.com/contents/search?search=Tolazamide	http://www.drugbank.ca/drugs/DB00839	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Tolazoline	hypertension	NOT	SYM	NOT		ACUTE	"treats side effect of an HTN drug, not a symptom of HTN"	https://www.google.com/webhp#q=Tolazoline	http://www.uptodate.com/contents/search?search=Tolazoline	http://www.drugbank.ca/drugs/DB00797	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Tolazoline	systemic scleroderma	SYM	NOT	SYM				https://www.google.com/webhp#q=Tolazoline	http://www.uptodate.com/contents/search?search=Tolazoline	http://www.drugbank.ca/drugs/DB00797	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	TRUE
Tolbutamide	type 2 diabetes mellitus	DM	SYM	DM				https://www.google.com/webhp#q=Tolbutamide	http://www.uptodate.com/contents/search?search=Tolbutamide	http://www.drugbank.ca/drugs/DB01124	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Tolmetin	ankylosing spondylitis	SYM	DM	SYM				https://www.google.com/webhp#q=Tolmetin	http://www.uptodate.com/contents/search?search=Tolmetin	http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Tolmetin	osteoarthritis	SYM	DM	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Tolmetin	http://www.uptodate.com/contents/search?search=Tolmetin	http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Tolmetin	rheumatoid arthritis	SYM	DM	SYM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Tolmetin	http://www.uptodate.com/contents/search?search=Tolmetin	http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Tolterodine	multiple sclerosis	SYM	NOT	SYM	urinary incon			https://www.google.com/webhp#q=Tolterodine	http://www.uptodate.com/contents/search?search=Tolterodine	http://www.drugbank.ca/drugs/DB01036	http://www.disease-ontology.org/term/DOID%3A2377	TRUE	FALSE	TRUE
Torasemide	hypertension	NOT	SYM	DM			see notes for diuretics in HTN	https://www.google.com/webhp#q=Torasemide	http://www.uptodate.com/contents/search?search=Torasemide	http://www.drugbank.ca/drugs/DB00214	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	FALSE
Trandolapril	coronary artery disease	NOT	DM	DM			see notes on coronary artery disease	https://www.google.com/webhp#q=Trandolapril	http://www.uptodate.com/contents/search?search=Trandolapril	http://www.drugbank.ca/drugs/DB00519	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
Travoprost	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Travoprost	http://www.uptodate.com/contents/search?search=Travoprost	http://www.drugbank.ca/drugs/DB00287	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Trazodone	schizophrenia	SYM	NOT	SYM				https://www.google.com/webhp#q=Trazodone	http://www.uptodate.com/contents/search?search=Trazodone	http://www.drugbank.ca/drugs/DB00656	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
Treprostinil	hypertension	DM	NOT	NOT	pulm htn		see notes for pulmonary hypertension drugs in HTN	https://www.google.com/webhp#q=Treprostinil	http://www.uptodate.com/contents/search?search=Treprostinil	http://www.drugbank.ca/drugs/DB00374	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Tretinoin	hematologic cancer	DM	NOT	NOT			"as far as I can tell, only alitretinoin is used in lymphoma"	https://www.google.com/webhp#q=Tretinoin	http://www.uptodate.com/contents/search?search=Tretinoin	http://www.drugbank.ca/drugs/DB00755	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Triamcinolone	allergic rhinitis	DM	NOT	DM			AJG probably not considering PO formulation	https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Triamcinolone	ankylosing spondylitis	DM	NOT	DM				https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Triamcinolone	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Triamcinolone	brain cancer	SYM	NOT	SYM			see notes on steroids in cancers	https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A1319	TRUE	FALSE	TRUE
Triamcinolone	psoriasis	DM	SYM	DM				https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A8893	TRUE	FALSE	TRUE
Triamcinolone	psoriatic arthritis	DM	SYM	DM	Pilot classification: ? disease-modifying; Pilot notes:			https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9008	TRUE	FALSE	TRUE
Triamcinolone	rheumatoid arthritis	DM	SYM	DM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Triamcinolone	systemic lupus erythematosus	DM	SYM	DM			see notes for lupus	https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Triamcinolone	ulcerative colitis	DM	NOT	DM				https://www.google.com/webhp#q=Triamcinolone	http://www.uptodate.com/contents/search?search=Triamcinolone	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A8577	TRUE	FALSE	TRUE
Triamterene	hypertension	DM	SYM	DM	diuretic		see notes for diuretics in HTN	https://www.google.com/webhp#q=Triamterene	http://www.uptodate.com/contents/search?search=Triamterene	http://www.drugbank.ca/drugs/DB00384	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Valproic Acid	endogenous depression	SYM	NOT	SYM				https://www.google.com/webhp#q=Valproic Acid	http://www.uptodate.com/contents/search?search=Valproic Acid	http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A1595	TRUE	FALSE	TRUE
Valproic Acid	epilepsy syndrome	SYM	DM	DM			ammendment 3	https://www.google.com/webhp#q=Valproic Acid	http://www.uptodate.com/contents/search?search=Valproic Acid	http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A1826	TRUE	FALSE	TRUE
Valproic Acid	schizophrenia	SYM	NOT	SYM				https://www.google.com/webhp#q=Valproic Acid	http://www.uptodate.com/contents/search?search=Valproic Acid	http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
Varenicline	nicotine dependence	SYM	DM	DM			"tough call, but agreed with AJG with similar reasoning to alcohol dependence medications"	https://www.google.com/webhp#q=Varenicline	http://www.uptodate.com/contents/search?search=Varenicline	http://www.drugbank.ca/drugs/DB01273	http://www.disease-ontology.org/term/DOID%3A0050742	TRUE	FALSE	TRUE
Verapamil	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Verapamil	http://www.uptodate.com/contents/search?search=Verapamil	http://www.drugbank.ca/drugs/DB00661	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Vincristine	peripheral nervous system neoplasm	DM	NOT	DM			per uptodate	https://www.google.com/webhp#q=Vincristine	http://www.uptodate.com/contents/search?search=Vincristine	http://www.drugbank.ca/drugs/DB00541	http://www.disease-ontology.org/term/DOID%3A1192	TRUE	FALSE	TRUE
Vinorelbine	hematologic cancer	NOT	DM	DM			hodgkin for example	https://www.google.com/webhp#q=Vinorelbine	http://www.uptodate.com/contents/search?search=Vinorelbine	http://www.drugbank.ca/drugs/DB00361	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Vinorelbine	ovarian cancer	NOT	DM	DM			uptodate	https://www.google.com/webhp#q=Vinorelbine	http://www.uptodate.com/contents/search?search=Vinorelbine	http://www.drugbank.ca/drugs/DB00361	http://www.disease-ontology.org/term/DOID%3A2394	TRUE	FALSE	TRUE
Vitamin C	anemia	DM	NOT	NOT				https://www.google.com/webhp#q=Vitamin C	http://www.uptodate.com/contents/search?search=Vitamin C	http://www.drugbank.ca/drugs/DB00126	http://www.disease-ontology.org/term/DOID%3A2355	TRUE	FALSE	TRUE
Vitamin E	anemia	DM	NOT	NOT	vit E def asst hemolytic anemia			https://www.google.com/webhp#q=Vitamin E	http://www.uptodate.com/contents/search?search=Vitamin E	http://www.drugbank.ca/drugs/DB00163	http://www.disease-ontology.org/term/DOID%3A2355	TRUE	FALSE	TRUE
WF10	asthma	NOT	DM	DM	in research		Nuvo Research granted U.S. Patent for treatment of allergic rhinitis and allergic asthma with WF10	https://www.google.com/webhp#q=WF10	http://www.uptodate.com/contents/search?search=WF10	http://www.drugbank.ca/drugs/DB05389	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
WF10	systemic scleroderma	NOT	DM	NOT	in research			https://www.google.com/webhp#q=WF10	http://www.uptodate.com/contents/search?search=WF10	http://www.drugbank.ca/drugs/DB05389	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	TRUE
Zileuton	asthma	DM	SYM	DM	"Pilot classification: disease-modifying; Pilot notes: oral, inhibitis leukotrienes"		see notes on asthma	https://www.google.com/webhp#q=Zileuton	http://www.uptodate.com/contents/search?search=Zileuton	http://www.drugbank.ca/drugs/DB00744	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Zoledronate	bone cancer	DM	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Zoledronate	http://www.uptodate.com/contents/search?search=Zoledronate	http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A184	TRUE	FALSE	FALSE
Zoledronate	breast cancer	NOT	SYM	NOT		Helps with secondary effects of many cancers	see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Zoledronate	http://www.uptodate.com/contents/search?search=Zoledronate	http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Zoledronate	hematologic cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Zoledronate	http://www.uptodate.com/contents/search?search=Zoledronate	http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Zoledronate	kidney cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Zoledronate	http://www.uptodate.com/contents/search?search=Zoledronate	http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A263	TRUE	FALSE	TRUE
Zoledronate	prostate cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Zoledronate	http://www.uptodate.com/contents/search?search=Zoledronate	http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Zolpidem	Parkinson's disease	SYM	NOT	NOT			"not enough evidence yet, I feel, especially given evidence that zolpidem may lead to parkinson's"	https://www.google.com/webhp#q=Zolpidem	http://www.uptodate.com/contents/search?search=Zolpidem	http://www.drugbank.ca/drugs/DB00425	http://www.disease-ontology.org/term/DOID%3A14330	TRUE	FALSE	TRUE
Zolpidem	multiple sclerosis	SYM	NOT	SYM				https://www.google.com/webhp#q=Zolpidem	http://www.uptodate.com/contents/search?search=Zolpidem	http://www.drugbank.ca/drugs/DB00425	http://www.disease-ontology.org/term/DOID%3A2377	TRUE	FALSE	TRUE
Zopiclone	multiple sclerosis	SYM	NOT	SYM	insomnia			https://www.google.com/webhp#q=Zopiclone	http://www.uptodate.com/contents/search?search=Zopiclone	http://www.drugbank.ca/drugs/DB01198	http://www.disease-ontology.org/term/DOID%3A2377	TRUE	FALSE	TRUE
Zopiclone	schizophrenia	SYM	NOT	SYM				https://www.google.com/webhp#q=Zopiclone	http://www.uptodate.com/contents/search?search=Zopiclone	http://www.drugbank.ca/drugs/DB01198	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
Abacavir	acquired immunodeficiency syndrome	DM	DM	DM				https://www.google.com/webhp#q=Abacavir	http://www.uptodate.com/contents/search?search=Abacavir	http://www.drugbank.ca/drugs/DB01048	http://www.disease-ontology.org/term/DOID%3A635	FALSE	TRUE	TRUE
Abiraterone	prostate cancer	DM	DM	DM				https://www.google.com/webhp#q=Abiraterone	http://www.uptodate.com/contents/search?search=Abiraterone	http://www.drugbank.ca/drugs/DB05812	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	TRUE	TRUE
Acamprosate	alcohol dependence	DM	DM	DM	(works as well as naltrexone)			https://www.google.com/webhp#q=Acamprosate	http://www.uptodate.com/contents/search?search=Acamprosate	http://www.drugbank.ca/drugs/DB00659	http://www.disease-ontology.org/term/DOID%3A0050741	FALSE	TRUE	TRUE
Acetaminophen	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Acetaminophen	http://www.uptodate.com/contents/search?search=Acetaminophen	http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Acetaminophen	osteoarthritis	SYM	SYM	SYM				https://www.google.com/webhp#q=Acetaminophen	http://www.uptodate.com/contents/search?search=Acetaminophen	http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A8398	FALSE	TRUE	TRUE
Acetazolamide	glaucoma	DM	DM	DM				https://www.google.com/webhp#q=Acetazolamide	http://www.uptodate.com/contents/search?search=Acetazolamide	http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1686	FALSE	TRUE	TRUE
Acetophenazine	schizophrenia	SYM	SYM	SYM				https://www.google.com/webhp#q=Acetophenazine	http://www.uptodate.com/contents/search?search=Acetophenazine	http://www.drugbank.ca/drugs/DB01063	http://www.disease-ontology.org/term/DOID%3A5419	FALSE	TRUE	TRUE
Acetylcysteine	chronic obstructive pulmonary disease	DM	DM	SYM			"mucolytic, does not affect disease biology"	https://www.google.com/webhp#q=Acetylcysteine	http://www.uptodate.com/contents/search?search=Acetylcysteine	http://www.drugbank.ca/drugs/DB06151	http://www.disease-ontology.org/term/DOID%3A3083	FALSE	FALSE	FALSE
Acetylsalicylic acid	Kawasaki disease	DM	DM	DM				https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13378	FALSE	TRUE	TRUE
Acetylsalicylic acid	coronary artery disease	DM	DM	DM			see notes on coronary artery disease	https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Acetylsalicylic acid	hypertension	NOT	NOT	NOT				https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Acetylsalicylic acid	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Acetylsalicylic acid	rheumatoid arthritis	SYM	SYM	SYM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	TRUE	TRUE
